word,phonetic,pos,meaning,example,exampleCn,category,level,list
williams,'wiljәmz,n.,n. 威廉姆斯（男子名）,"Students often meet the word ""williams"" in reading and daily communication.",这个例句展示了“williams”在四级阅读和写作中的常见用法。,daily|cet4,,
disability,disә'biliti,n.,"n. 无力, 无能, 残疾\n[医] 劳动能力丧失, 病废",Reading disability.,这个例句展示了“disability”在四级阅读和写作中的常见用法。,daily|cet4,,
washington,'wɒʃiŋtn,n.,n. 华盛顿,"Students often meet the word ""washington"" in reading and daily communication.",这个例句展示了“washington”在四级阅读和写作中的常见用法。,daily|cet4,,
biological,.baiәu'lɒdʒikәl,adj.,a. 生物学的\n[医] 生物学的,Biological child.,这个例句展示了“biological”在四级阅读和写作中的常见用法。,daily|cet4,,
aunt,ɑ:nt,n.,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母","Students often meet the word ""aunt"" in reading and daily communication.",这个例句展示了“aunt”在四级阅读和写作中的常见用法。,daily|cet4,,
commons,'kɒmәns,n.,"n. 平民, 下议院, 公共食堂\n[法] 平民, 下议院议员, 下院","Students often meet the word ""commons"" in reading and daily communication.",这个例句展示了“commons”在四级阅读和写作中的常见用法。,daily|cet4,,
gloucester,'^lɔstә,n.,n. 格洛斯特（英国西南部的港市）；格洛斯特硬干酪（产于英国）,"Students often meet the word ""gloucester"" in reading and daily communication.",这个例句展示了“gloucester”在四级阅读和写作中的常见用法。,daily|cet4,,
altogether,.ɒ:ltә'geðә,adv.,"adv. 完全地, 总而言之",In the altogether.,这个例句展示了“altogether”在四级阅读和写作中的常见用法。,daily|cet4,,
activist,'æktivist,n.,n. 激进主义分子,"Students often meet the word ""activist"" in reading and daily communication.",这个例句展示了“activist”在四级阅读和写作中的常见用法。,daily|cet4,,
islamic,iz'læmik,adj.,"a. 伊斯兰教的, 穆斯林的",Islamic art.,这个例句展示了“islamic”在四级阅读和写作中的常见用法。,daily|cet4,,
terrorism,'terәrizm,n.,"n. 恐怖主义, 恐怖统治, 恐怖状态\n[法] 胁迫, 暴政, 恐怖政治","Students often meet the word ""terrorism"" in reading and daily communication.",这个例句展示了“terrorism”在四级阅读和写作中的常见用法。,daily|cet4,,
killer,'kilә,n.,"n. (非正式)杀人者, 屠杀者, 猛兽, 致死(疾病), 杀手, 止痛药, 限制器, 瞄准器\n[计] 删除程序; 断路器",Heart disease is the biggest killer in the United States.,这个例句展示了“killer”在四级阅读和写作中的常见用法。,daily|cet4,,
johnson,'dʒɔnsn,n.,n. 约翰逊（姓氏）,"Students often meet the word ""johnson"" in reading and daily communication.",这个例句展示了“johnson”在四级阅读和写作中的常见用法。,daily|cet4,,
developing,di'velәpiŋ,n.,a. 发展中的\n[计] 显影,Many countries in Asia are now developing at a very fast pace.,这个例句展示了“developing”在四级阅读和写作中的常见用法。,daily|cet4,,
scott,skɔt,n.,n. 斯科特（男子名）,"Students often meet the word ""scott"" in reading and daily communication.",这个例句展示了“scott”在四级阅读和写作中的常见用法。,daily|cet4,,
ben,ben,n.,"n. 内室\n[医] 贝昂(俗名,一般指辣木Moringa oleifera,有时也指一些不同属的植物)",They were climbing the ben.,这个例句展示了“ben”在四级阅读和写作中的常见用法。,daily|cet4,,
israel,'izreil,n.,"n. 以色列, 以色列后裔, 犹太人","Students often meet the word ""israel"" in reading and daily communication.",这个例句展示了“israel”在四级阅读和写作中的常见用法。,daily|cet4,,
teen,ti:n,n.,"n. 愤怒, 悲哀",The teen years.,这个例句展示了“teen”在四级阅读和写作中的常见用法。,daily|cet4,,
iraq,i'rɑ:k,n.,n. 伊拉克,"Students often meet the word ""iraq"" in reading and daily communication.",这个例句展示了“iraq”在四级阅读和写作中的常见用法。,daily|cet4,,
sept,sept,n.,n. 氏族\n[经] 九月,"Students often meet the word ""sept"" in reading and daily communication.",这个例句展示了“sept”在四级阅读和写作中的常见用法。,daily|cet4,,
personally,'pә:sәnli,adv.,"adv. 亲自地, 个别地, 当面, 就本人而言, 针对个人地","Speaking personally, I would not want to go.",这个例句展示了“personally”在四级阅读和写作中的常见用法。,daily|cet4,,
satisfied,'sætisfaiәd,v.,a. 感到满意的,A satisfied customer.,这个例句展示了“satisfied”在四级阅读和写作中的常见用法。,daily|cet4,,
canadian,kә'neidiәn,n.,a. 加拿大的,"Students often meet the word ""canadian"" in reading and daily communication.",这个例句展示了“canadian”在四级阅读和写作中的常见用法。,daily|cet4,,
reasonably,'ri:znәbli,adv.,"adv. 适度地, 相当地",The shoes are priced reasonably.,这个例句展示了“reasonably”在四级阅读和写作中的常见用法。,daily|cet4,,
operating,'ɔpәreitiŋ,v.,"a. 操作的, 工作的, 营业上的, 业务的, 关于收支的, 关于损益的, 外科手术的\n[机] 运转费用",The operating conditions of the oxidation pond.,这个例句展示了“operating”在四级阅读和写作中的常见用法。,daily|cet4,,
cooperation,kәu.ɒpә'reiʃәn,n.,"n. 合作, 协力, 配合\n[化] 合作",Their cooperation with us was essential for the success of our mission.,这个例句展示了“cooperation”在四级阅读和写作中的常见用法。,daily|cet4,,
sam,sæm,n.,安全性帐户管理器,"Students often meet the word ""sam"" in reading and daily communication.",这个例句展示了“sam”在四级阅读和写作中的常见用法。,daily|cet4,,
disabled,dis'eibld,n.,"a. 残废的, 有缺陷的, 失效的\n[计] 失效的",Technology to help the elderly and the disabled.,这个例句展示了“disabled”在四级阅读和写作中的常见用法。,daily|cet4,,
lost,lɒst,n.,"a. 失去的, 遗失的, 迷惑的\nlose的过去式和过去分词",She lost her purse when she left it unattended on her seat.,这个例句展示了“lost”在四级阅读和写作中的常见用法。,daily|cet4,,
neil,,n.,n. 尼尔（男子名）,"Students often meet the word ""neil"" in reading and daily communication.",这个例句展示了“neil”在四级阅读和写作中的常见用法。,daily|cet4,,
constitutional,.kɒnsti'tju:ʃәnl,n.,"a. 宪法的, 立宪的, 体质的\n[医] 全身的; 体质的",Constitutional walk.,这个例句展示了“constitutional”在四级阅读和写作中的常见用法。,daily|cet4,,
eighteen,'ei'ti:n,n.,"num. 十八, 十八个","Students often meet the word ""eighteen"" in reading and daily communication.",这个例句展示了“eighteen”在四级阅读和写作中的常见用法。,daily|cet4,,
sheep,ʃi:p,n.,"n. 羊, 胆小者",His students followed him like sheep.,这个例句展示了“sheep”在四级阅读和写作中的常见用法。,daily|cet4,,
publisher,'pʌbliʃә,n.,"n. 出版者, 发行人\n[法] 发行人, 出版者, 报刊发行者","Students often meet the word ""publisher"" in reading and daily communication.",这个例句展示了“publisher”在四级阅读和写作中的常见用法。,daily|cet4,,
patrick,'pætrik,n.,n. 帕特里克（男子名）,"Students often meet the word ""patrick"" in reading and daily communication.",这个例句展示了“patrick”在四级阅读和写作中的常见用法。,daily|cet4,,
joseph,'dʒәuzif,n.,n. 约瑟夫（男子名）；约瑟（圣经中雅各的第十一子）,"Students often meet the word ""joseph"" in reading and daily communication.",这个例句展示了“joseph”在四级阅读和写作中的常见用法。,daily|cet4,,
asia,'eiʒә,n.,n. 亚洲,"Students often meet the word ""asia"" in reading and daily communication.",这个例句展示了“asia”在四级阅读和写作中的常见用法。,daily|cet4,,
moscow,'mɒskau,n.,n. 莫斯科,"Students often meet the word ""moscow"" in reading and daily communication.",这个例句展示了“moscow”在四级阅读和写作中的常见用法。,daily|cet4,,
related,ri'leitid,v.,"a. 讲述的, 叙述的；有关系的, 有关联的",The witness related the events.,这个例句展示了“related”在四级阅读和写作中的常见用法。,daily|cet4,,
ken,ken,n.,"n. 视野范围, 知识范围, 见地",Beyond my ken.,这个例句展示了“ken”在四级阅读和写作中的常见用法。,daily|cet4,,
ruth,ru:θ,n.,"n. 怜悯, 悲哀","Students often meet the word ""ruth"" in reading and daily communication.",这个例句展示了“ruth”在四级阅读和写作中的常见用法。,daily|cet4,,
processing,prәu'sesiŋ,n.,处理\n[化] 加工,The processing of newly arrived immigrants.,这个例句展示了“processing”在四级阅读和写作中的常见用法。,daily|cet4,,
implementation,.implimen'teiʃәn,n.,"n. 安装启用, 实行, 履行\n[计] 实施; 实现",The agency was created for the implementation of the policy.,这个例句展示了“implementation”在四级阅读和写作中的常见用法。,daily|cet4,,
olympic,әu'limpik,adj.,"a. 奥林匹亚的, 奥林匹斯山的, 强有力的, 巨大的",Olympic winners.,这个例句展示了“olympic”在四级阅读和写作中的常见用法。,daily|cet4,,
lend,lend,v.,"vt. 借, 贷款给, 增添, 提供, 出租\nvi. 贷款",I will lend you my car.,这个例句展示了“lend”在四级阅读和写作中的常见用法。,daily|cet4,,
rice,rais,v.,"n. 米, 米饭, 稻\nvt. 将...压成米粒状",Rice the potatoes.,这个例句展示了“rice”在四级阅读和写作中的常见用法。,daily|cet4,,
considerably,kәn'sidәrәbli,adv.,"adv. 非常地, 很, 颇",Painting the room white made it seem considerably (or substantially) larger.,这个例句展示了“considerably”在四级阅读和写作中的常见用法。,daily|cet4,,
canada,'kænәdә,n.,n. 加拿大,The border between the United States and Canada is the longest unguarded border in the world.,这个例句展示了“canada”在四级阅读和写作中的常见用法。,daily|cet4,,
lover,'lʌvә,n.,"n. 爱人, 爱好者","Students often meet the word ""lover"" in reading and daily communication.",这个例句展示了“lover”在四级阅读和写作中的常见用法。,daily|cet4,,
arthur,'ɑ:θә,n.,"n. 亚瑟（男子名）；亚瑟王（传说中六世纪前后英国的国王, 圆桌骑士团的首领）","Students often meet the word ""arthur"" in reading and daily communication.",这个例句展示了“arthur”在四级阅读和写作中的常见用法。,daily|cet4,,
hunting,'hʌntiŋ,n.,"n. 狩猎, 猎狐, 探求\n[计] 寻找平衡; 寻找","Students often meet the word ""hunting"" in reading and daily communication.",这个例句展示了“hunting”在四级阅读和写作中的常见用法。,daily|cet4,,
bristol,'bristәl,n.,n. 布里斯托尔(英国西部港口),"Students often meet the word ""bristol"" in reading and daily communication.",这个例句展示了“bristol”在四级阅读和写作中的常见用法。,daily|cet4,,
consultation,.kɒnsәl'teiʃәn,n.,"n. 请教, 咨询, 磋商会\n[医] 会诊",He had a consultation with the judge.,这个例句展示了“consultation”在四级阅读和写作中的常见用法。,daily|cet4,,
dialogue,'daiәlɒg,v.,n. 对话\nvi. 对话\nvt. 用对话表达,They disagreed but kept an open dialogue.,这个例句展示了“dialogue”在四级阅读和写作中的常见用法。,daily|cet4,,
rugby,'rʌ^bi,n.,"n. 橄榄球, 橄榄球赛","Students often meet the word ""rugby"" in reading and daily communication.",这个例句展示了“rugby”在四级阅读和写作中的常见用法。,daily|cet4,,
squad,skwɒd,v.,"n. 班, 小队, 小集团\nvt. 编成班","Students often meet the word ""squad"" in reading and daily communication.",这个例句展示了“squad”在四级阅读和写作中的常见用法。,daily|cet4,,
nick,nik,v.,"n. 刻痕, 缺口, 划痕\nvt. 刻痕于, 弄缺, 擦伤\nvi. 狙击",He's in the nick.,这个例句展示了“nick”在四级阅读和写作中的常见用法。,daily|cet4,,
feb,,n.,abbr. 二月（February）,"Students often meet the word ""feb"" in reading and daily communication.",这个例句展示了“feb”在四级阅读和写作中的常见用法。,daily|cet4,,
aug,,n.,abbr. 八月（August）,"Students often meet the word ""aug"" in reading and daily communication.",这个例句展示了“aug”在四级阅读和写作中的常见用法。,daily|cet4,,
standing,'stændiŋ,n.,"n. 起立, 持续, 身分\na. 立着的, 不动的, 经常的, 持续的",Of equal standing.,这个例句展示了“standing”在四级阅读和写作中的常见用法。,daily|cet4,,
automatically,.ɒ:tә'mætikli,adv.,"adv. 自动地, 机械地",He answered automatically.,这个例句展示了“automatically”在四级阅读和写作中的常见用法。,daily|cet4,,
joy,dʒɒi,v.,"n. 欢喜, 乐事, 高兴\nvt. 使快乐, 令人高兴\nvi. 欢喜",A joy to behold.,这个例句展示了“joy”在四级阅读和写作中的常见用法。,daily|cet4,,
shooting,'ʃu:tiŋ,n.,"n. 发射, 猎场, 射击",His shooting was slow but accurate.,这个例句展示了“shooting”在四级阅读和写作中的常见用法。,daily|cet4,,
announcement,ә'naunsmәnt,n.,"n. 公告, 发表, 告知\n[经] 通告, 布告, 公告",The government made an announcement about changes in the drug war.,这个例句展示了“announcement”在四级阅读和写作中的常见用法。,daily|cet4,,
offense,ә'fens,n.,"n. 犯罪, 伤感情, 攻击","Students often meet the word ""offense"" in reading and daily communication.",这个例句展示了“offense”在四级阅读和写作中的常见用法。,daily|cet4,,
unemployed,.ʌnim'plɒid,n.,"a. 失业的, 未被利用的\n[经] 没有被雇用的, 失业的, 没有被利用的",The long-term unemployed need assistance.,这个例句展示了“unemployed”在四级阅读和写作中的常见用法。,daily|cet4,,
potentially,pә'tenʃәli,adv.,"adv. 可能地, 潜在地",He is potentially dangerous.,这个例句展示了“potentially”在四级阅读和写作中的常见用法。,daily|cet4,,
till,til,prep.,"prep. 直到, 在...以前, 迄\nconj. 直到...为止\nvt. 耕种\nn. 放钱的抽屉, 备用现金, 冰碛",Till the soil.,这个例句展示了“till”在四级阅读和写作中的常见用法。,daily|cet4,,
politically,,adv.,adv. 政治上,Politically correct clothing.,这个例句展示了“politically”在四级阅读和写作中的常见用法。,daily|cet4,,
swim,swim,v.,"n. 游泳, 漂浮, 潮流, 眩晕\nvi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕\nvt. 游过, 使浮起",They took a short swim in the pool.,这个例句展示了“swim”在四级阅读和写作中的常见用法。,daily|cet4,,
kong,kɔŋ,n.,n. 含锡砾石下的无矿基岩；钢,"Students often meet the word ""kong"" in reading and daily communication.",这个例句展示了“kong”在四级阅读和写作中的常见用法。,daily|cet4,,
hong,hɔŋ,n.,"n. （中国、日本的）行, 商行","Students often meet the word ""hong"" in reading and daily communication.",这个例句展示了“hong”在四级阅读和写作中的常见用法。,daily|cet4,,
keith,ki:θ,n.,n. 基思（男子名）,"Students often meet the word ""keith"" in reading and daily communication.",这个例句展示了“keith”在四级阅读和写作中的常见用法。,daily|cet4,,
sergeant,'sɑ:dʒәnt,n.,"n. 警察小队长, 军士","Students often meet the word ""sergeant"" in reading and daily communication.",这个例句展示了“sergeant”在四级阅读和写作中的常见用法。,daily|cet4,,
charlie,,n.,n. 通讯中用以代表字母C的词,"Students often meet the word ""charlie"" in reading and daily communication.",这个例句展示了“charlie”在四级阅读和写作中的常见用法。,daily|cet4,,
anna,'ænә,n.,n. 安娜（女子名）,"Students often meet the word ""anna"" in reading and daily communication.",这个例句展示了“anna”在四级阅读和写作中的常见用法。,daily|cet4,,
andy,'ændi,n.,"n. 安迪（男子名, 等于Andrew）","Students often meet the word ""andy"" in reading and daily communication.",这个例句展示了“andy”在四级阅读和写作中的常见用法。,daily|cet4,,
amendment,ә'mendmәnt,n.,"n. 修订, 改善, 改良, 改正\n[化] 调理剂; 修正","Students often meet the word ""amendment"" in reading and daily communication.",这个例句展示了“amendment”在四级阅读和写作中的常见用法。,daily|cet4,,
dirty,'dә:ti,v.,"a. 肮脏的, 卑鄙的\nvt. 弄脏\nvi. 变脏",Dirty unswept sidewalks.,这个例句展示了“dirty”在四级阅读和写作中的常见用法。,daily|cet4,,
fourteen,'fɒ:'ti:n,n.,"num. 十四, 十四个","Students often meet the word ""fourteen"" in reading and daily communication.",这个例句展示了“fourteen”在四级阅读和写作中的常见用法。,daily|cet4,,
sixteen,'siks'ti:n,n.,"num. 十六, 十六个","Students often meet the word ""sixteen"" in reading and daily communication.",这个例句展示了“sixteen”在四级阅读和写作中的常见用法。,daily|cet4,,
aged,'eidʒid,n.,"a. 老的, 陈的, 有...岁的\n[化] 老化的; 老化了的; 陈化的; 陈化了的",Special arrangements were available for the aged.,这个例句展示了“aged”在四级阅读和写作中的常见用法。,daily|cet4,,
excitement,ik'saitmәnt,n.,"n. 刺激, 兴奋\n[医] 兴奋, 激动",He could hardly conceal his excitement when she agreed.,这个例句展示了“excitement”在四级阅读和写作中的常见用法。,daily|cet4,,
helen,'helәn,n.,"n. 海伦（女子名, 火把、光亮的之义）","Students often meet the word ""helen"" in reading and daily communication.",这个例句展示了“helen”在四级阅读和写作中的常见用法。,daily|cet4,,
newcastle,"'nju:,kɑ:sl",n.,n. 纽卡斯尔（英国港市）,"Students often meet the word ""newcastle"" in reading and daily communication.",这个例句展示了“newcastle”在四级阅读和写作中的常见用法。,daily|cet4,,
deaf,def,n.,a. 聋的\n[医] 聋的,Many of the deaf use sign language.,这个例句展示了“deaf”在四级阅读和写作中的常见用法。,daily|cet4,,
treasury,'treʒәri,n.,"n. 国库, 宝库, 财政部, 国库券\n[经] 库存, 国库, 金库","Students often meet the word ""treasury"" in reading and daily communication.",这个例句展示了“treasury”在四级阅读和写作中的常见用法。,daily|cet4,,
howard,'hauәd,n.,n. 霍华德（男子名）,"Students often meet the word ""howard"" in reading and daily communication.",这个例句展示了“howard”在四级阅读和写作中的常见用法。,daily|cet4,,
dave,deiv,n.,n. 戴夫（男子名）,"Students often meet the word ""dave"" in reading and daily communication.",这个例句展示了“dave”在四级阅读和写作中的常见用法。,daily|cet4,,
berlin,bә:'lin,n.,"n. 柏林, (软质)柏林毛线","Students often meet the word ""berlin"" in reading and daily communication.",这个例句展示了“berlin”在四级阅读和写作中的常见用法。,daily|cet4,,
lucy,'lu:si,n.,n. 露西（女子名）,"Students often meet the word ""lucy"" in reading and daily communication.",这个例句展示了“lucy”在四级阅读和写作中的常见用法。,daily|cet4,,
maggie,'mæ^i,n.,n. 马吉（女子名）,"Students often meet the word ""maggie"" in reading and daily communication.",这个例句展示了“maggie”在四级阅读和写作中的常见用法。,daily|cet4,,
honey,'hʌni,v.,"n. 蜂蜜, 甜蜜, 爱人\na. 蜂蜜似的, 甜蜜的, 甘美的\nvt. 加蜜使甜, 对...说甜言蜜语\nvi. 说甜言蜜语, 奉承","Students often meet the word ""honey"" in reading and daily communication.",这个例句展示了“honey”在四级阅读和写作中的常见用法。,daily|cet4,,
delighted,di'laitid,v.,"a. 高兴的, 快乐的","Students often meet the word ""delighted"" in reading and daily communication.",这个例句展示了“delighted”在四级阅读和写作中的常见用法。,daily|cet4,,
closer,'klәuzә,n.,"n. 关闭者, 闭合器, 关闭器",Whoever is the closer has to turn out the lights and lock up.,这个例句展示了“closer”在四级阅读和写作中的常见用法。,daily|cet4,,
victoria,vik'tɔ:riә,n.,n. 维多利亚（女子名）,"Students often meet the word ""victoria"" in reading and daily communication.",这个例句展示了“victoria”在四级阅读和写作中的常见用法。,daily|cet4,,
kent,kent,n.,n. 肯特郡(英国郡名),"Students often meet the word ""kent"" in reading and daily communication.",这个例句展示了“kent”在四级阅读和写作中的常见用法。,daily|cet4,,
entitled,in'taitld,v.,a. 有资格的；给与名称的,We are all entitled to equal protection under the law.,这个例句展示了“entitled”在四级阅读和写作中的常见用法。,daily|cet4,,
dining,'dainiŋ,n.,"n. 正餐, 宴会",I'm wining and dining my friends.,这个例句展示了“dining”在四级阅读和写作中的常见用法。,daily|cet4,,
matthew,'mæθju:,n.,"n. 马太, 马太福音","Students often meet the word ""matthew"" in reading and daily communication.",这个例句展示了“matthew”在四级阅读和写作中的常见用法。,daily|cet4,,
scared,skeәd,v.,"a. 害怕的, 担惊受怕的, 惊慌的, 吓坏了的",Too shocked and scared to move.,这个例句展示了“scared”在四级阅读和写作中的常见用法。,daily|cet4,,
alexander,",æli^'zɑ:ndә",n.,n. 亚历山大（男子名）,"Students often meet the word ""alexander"" in reading and daily communication.",这个例句展示了“alexander”在四级阅读和写作中的常见用法。,daily|cet4,,
depending,,v.,依赖,"Students often meet the word ""depending"" in reading and daily communication.",这个例句展示了“depending”在四级阅读和写作中的常见用法。,daily|cet4,,
counselor,'kaunsәlә,n.,"n. 顾问, 参事, 法律顾问","Students often meet the word ""counselor"" in reading and daily communication.",这个例句展示了“counselor”在四级阅读和写作中的常见用法。,daily|cet4,,
uncertainty,.ʌn'sә:tnti,n.,"n. 不确定, 不可靠, 不确定的事物\n[化] 不确定度",The uncertainty of the outcome.,这个例句展示了“uncertainty”在四级阅读和写作中的常见用法。,daily|cet4,,
math,mæθ,n.,n. 数学,"Students often meet the word ""math"" in reading and daily communication.",这个例句展示了“math”在四级阅读和写作中的常见用法。,daily|cet4,,
midland,'midlәnd,n.,"n. 中部地方, 内地","Students often meet the word ""midland"" in reading and daily communication.",这个例句展示了“midland”在四级阅读和写作中的常见用法。,daily|cet4,,
zealand,'zi:lәnd,n.,n. 西兰岛（丹麦最大的岛）,"Students often meet the word ""zealand"" in reading and daily communication.",这个例句展示了“zealand”在四级阅读和写作中的常见用法。,daily|cet4,,
prosecution,.prɒsi'kju:ʃәn,n.,"n. 执行, 经营, 起诉","Students often meet the word ""prosecution"" in reading and daily communication.",这个例句展示了“prosecution”在四级阅读和写作中的常见用法。,daily|cet4,,
economist,i:'kɒnәmist,n.,"n. 经济学者, 经济家\n[经] 经济学家","Students often meet the word ""economist"" in reading and daily communication.",这个例句展示了“economist”在四级阅读和写作中的常见用法。,daily|cet4,,
mummy,'mʌmi,n.,"n. 木乃伊, 瘦而干瘪之人, 妈咪\n[医] 干尸, 木乃伊; 普鲁士红","Students often meet the word ""mummy"" in reading and daily communication.",这个例句展示了“mummy”在四级阅读和写作中的常见用法。,daily|cet4,,
celebration,.seli'breiʃәn,n.,"n. 庆祝, 庆典",The celebration of marriage.,这个例句展示了“celebration”在四级阅读和写作中的常见用法。,daily|cet4,,
convinced,kәn'vinst,v.,"a. 确信的, 深信的",He had finally convinced several customers of the advantages of his product.,这个例句展示了“convinced”在四级阅读和写作中的常见用法。,daily|cet4,,
sixth,siksθ,n.,"num. 第六, 六分之一","Students often meet the word ""sixth"" in reading and daily communication.",这个例句展示了“sixth”在四级阅读和写作中的常见用法。,daily|cet4,,
besides,bi'saidz,prep.,"prep. 除...之外\nadv. 而且, 此外","I don't want to go to a restaurant; besides, we can't afford it.",这个例句展示了“besides”在四级阅读和写作中的常见用法。,daily|cet4,,
pig,pig,v.,"n. 猪, 猪肉, 贪婪的人, 猪一样的人\nv. 生小猪, 象猪般地生活","Students often meet the word ""pig"" in reading and daily communication.",这个例句展示了“pig”在四级阅读和写作中的常见用法。,daily|cet4,,
traveller,'trævlә,n.,n. 旅行者\n[经] 旅行商,"Students often meet the word ""traveller"" in reading and daily communication.",这个例句展示了“traveller”在四级阅读和写作中的常见用法。,daily|cet4,,
pen,pen,v.,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜\nvt. 写, 关入栏中, 囚禁\nvi. 动笔, 写作","Students often meet the word ""pen"" in reading and daily communication.",这个例句展示了“pen”在四级阅读和写作中的常见用法。,daily|cet4,,
victorian,vik'tɔ:riәn,n.,"a. 英国维多利亚女王时代的, 笃信宗教的, 讲究体面的\nn. 维多利亚女王时代的英国人",Victorian morals.,这个例句展示了“victorian”在四级阅读和写作中的常见用法。,daily|cet4,,
meter,'mi:tә,v.,"n. 米, 公尺, 仪表, 计量器\nvt. 以仪表计量",Meter the flow of water.,这个例句展示了“meter”在四级阅读和写作中的常见用法。,daily|cet4,,
publicly,'pʌblikli,adv.,"adv. 公然地, 以公众名义",She admitted publicly to being a communist.,这个例句展示了“publicly”在四级阅读和写作中的常见用法。,daily|cet4,,
hunter,'hʌntә,n.,"n. 猎人, 猎犬, 追求者",A treasure hunter.,这个例句展示了“hunter”在四级阅读和写作中的常见用法。,daily|cet4,,
educate,'edjukeit,v.,"vt. 教育, 培养, 训练",We must educate our youngsters better.,这个例句展示了“educate”在四级阅读和写作中的常见用法。,daily|cet4,,
aide,eid,n.,"n. 助手, 副官\n[计] 数据输入的可说明性","Students often meet the word ""aide"" in reading and daily communication.",这个例句展示了“aide”在四级阅读和写作中的常见用法。,daily|cet4,,
friendship,'frendʃip,n.,"n. 友谊, 友爱, 友善","Students often meet the word ""friendship"" in reading and daily communication.",这个例句展示了“friendship”在四级阅读和写作中的常见用法。,daily|cet4,,
vat,væt,v.,"n. 大桶\nvt. 装入大桶, 在大桶里处理","Students often meet the word ""vat"" in reading and daily communication.",这个例句展示了“vat”在四级阅读和写作中的常见用法。,daily|cet4,,
francis,'frɑ:nsis,n.,"n. 弗朗西斯（男子名, 义为自由之人）","Students often meet the word ""francis"" in reading and daily communication.",这个例句展示了“francis”在四级阅读和写作中的常见用法。,daily|cet4,,
terry,'teri,n.,"n. 毛圈, 毛圈织物","Students often meet the word ""terry"" in reading and daily communication.",这个例句展示了“terry”在四级阅读和写作中的常见用法。,daily|cet4,,
norman,'nɔ:mәn,n.,a. 诺曼第语的；诺曼第人的,Norman beaches.,这个例句展示了“norman”在四级阅读和写作中的常见用法。,daily|cet4,,
humor,'hju:mә,v.,"n. 幽默, 诙谐, 心情\nvt. 迎合, 牵就, 顺应",She didn't appreciate my humor.,这个例句展示了“humor”在四级阅读和写作中的常见用法。,daily|cet4,,
colin,'kɔlin,n.,n. 科林（男子名）,"Students often meet the word ""colin"" in reading and daily communication.",这个例句展示了“colin”在四级阅读和写作中的常见用法。,daily|cet4,,
hers,hә:z,pron.,pron. 她的,"Students often meet the word ""hers"" in reading and daily communication.",这个例句展示了“hers”在四级阅读和写作中的常见用法。,daily|cet4,,
closure,'klәuʒә,v.,n. 关闭\nvt. 使终止,He needed to grieve before he could achieve a sense of closure.,这个例句展示了“closure”在四级阅读和写作中的常见用法。,daily|cet4,,
durham,'dә:rәm,n.,"n. 达勒姆郡(英格兰郡名), 短角肉牛","Students often meet the word ""durham"" in reading and daily communication.",这个例句展示了“durham”在四级阅读和写作中的常见用法。,daily|cet4,,
laura,'lɔ:rә,n.,n. 劳拉（女子名）,"Students often meet the word ""laura"" in reading and daily communication.",这个例句展示了“laura”在四级阅读和写作中的常见用法。,daily|cet4,,
nhs,,n.,国家医疗保健机构,"Students often meet the word ""nhs"" in reading and daily communication.",这个例句展示了“nhs”在四级阅读和写作中的常见用法。,daily|cet4,,
bombing,'bɔmiŋ,n.,"n. 轰炸, 投弹","Students often meet the word ""bombing"" in reading and daily communication.",这个例句展示了“bombing”在四级阅读和写作中的常见用法。,daily|cet4,,
loud,laud,adv.,"a. 大声的, 不断的, 喧吵的\nadv. 高声地, 大声地",A group of loud children.,这个例句展示了“loud”在四级阅读和写作中的常见用法。,daily|cet4,,
photographer,fә'tɔ^rәfә,n.,"n. 摄影师, 摄影者","Students often meet the word ""photographer"" in reading and daily communication.",这个例句展示了“photographer”在四级阅读和写作中的常见用法。,daily|cet4,,
changing,'tʃeindʒiŋ,v.,v. 交换；兑换；改变（change的ing形式）,"Students often meet the word ""changing"" in reading and daily communication.",这个例句展示了“changing”在四级阅读和写作中的常见用法。,daily|cet4,,
provider,prә'vaidә,n.,"n. 供应者, 供养人, 伙食承办人\n[计] 提供器","Students often meet the word ""provider"" in reading and daily communication.",这个例句展示了“provider”在四级阅读和写作中的常见用法。,daily|cet4,,
girlfriend,,n.,n. 女朋友,Mary and her girlfriend organized the party.,这个例句展示了“girlfriend”在四级阅读和写作中的常见用法。,daily|cet4,,
flavor,'fleivә,v.,"n. 滋味, 调味品\nvt. 加味于","Students often meet the word ""flavor"" in reading and daily communication.",这个例句展示了“flavor”在四级阅读和写作中的常见用法。,daily|cet4,,
cholesterol,kә'lestәrɒl,n.,n. 胆固醇\n[化] 胆固醇; 胆固醇,"Students often meet the word ""cholesterol"" in reading and daily communication.",这个例句展示了“cholesterol”在四级阅读和写作中的常见用法。,daily|cet4,,
informal,in'fɒ:mәl,adj.,"a. 非正式的, 不拘礼的, 通俗的\n[经] 非正式的, 日常使用的",Conservative people unaccustomed to informal dress.,这个例句展示了“informal”在四级阅读和写作中的常见用法。,daily|cet4,,
taxpayer,'tækspeiә,n.,"n. 纳税人\n[法] 纳税人, 纳税义务人","Students often meet the word ""taxpayer"" in reading and daily communication.",这个例句展示了“taxpayer”在四级阅读和写作中的常见用法。,daily|cet4,,
